geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
dza,Algeria,,,,,0.00036,0.00177,0.00174,0.0103,0.0202,0.2,0.49171,0.64611,1.59164,2.19536,4.63448,5.8439,7.37598,9.45119,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,49.03847,55.7907,63.4727,72.2124,74.7815,76.1976,77.4178,
ecu,Ecuador,,,0.00512,0.0164,0.0348,0.0438,0.0862,0.11,0.125,0.823,1.46219,2.67044,4.2608,4.46023,4.83444,5.9943,7.2,10.8,18.8,24.6,29.03,31.36681,35.13515,40.27912,45.59039,48.94043,54.06292,55.8,57.5,59.2,70.7,69.1148,69.71811,72.69431,77.17273,
egy,Egypt,,,,0.00098,0.00638,0.0313,0.0615,0.0905,0.148,0.29,0.64127,0.83895,2.72,4.03789,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.8946,37.81938,41.24807,44.9502,46.92434,57.28287,71.9142,72.056,72.19807,74.0119,74.6484,
eri,Eritrea,,,,,,,,0.00902,0.00877,0.0255,0.13671,0.15782,0.22709,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.0837,1.1771,2.4961,5.293,11.2238,14.3494,,,,,
esp,Spain,0.0129,0.0257,0.0768,0.128,0.28,0.381,1.33,2.8,4.36,7.09,13.62496,18.14872,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.635,76.18671,78.68963,80.56133,84.60225,86.10724,90.71867,93.20565,93.89752,94.48554,95.44565,95.75745,
est,Estonia,,,0.0655,0.301,1.16,2.78,3.53,5.71,10.8,14.5,28.57695,31.52749,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38993,80.0043,84.24153,88.4097,87.24023,88.10246,89.35701,90.22893,89.05829,90.9797,91.52017,93.18342,92.23796,
eth,Ethiopia,,,,,,0.00002,0.0017,0.00497,0.00966,0.0125,0.01526,0.03716,0.0724,0.10581,0.15533,0.21966,0.31059,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85518,15.36692,15.6244,15.8862,15.9846,16.0696,16.6981,17.9837,20.3375,21.9413,
fin,Finland,0.401,1.4,1.89,2.57,4.92,13.9,16.8,19.5,25.5,32.3,37.24846,43.10536,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999,89.88,91.5144,86.53039,86.42213,87.70365,87.46893,88.88996,89.60739,92.17027,92.80806,92.98879,93.51385,93.72405,
fji,Fiji,,,,0.00668,0.00791,0.00912,0.0644,0.223,0.633,0.942,1.49685,1.85798,6.15265,6.72543,7.41294,8.45364,9.60004,10.8978,13,17,20,28,33.7424,35.2,37.4,42.5,49.42,53.6474,58.2364,63.2179,68.6256,70.568,72.5655,74.1161,74.7052,
fra,France,0.0528,0.14,0.279,0.591,0.9,1.64,2.58,4.26,6.32,9.13,14.30792,26.3259,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.9198,83.7511,78.00604,79.26981,80.50246,82.04319,83.33974,84.7064,86.09549,85.33332,86.83636,88.65382,
